observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
SYFW0187_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0187,,2024-01-30T11:38:35-0600,2024-01-30T11:38:35-0600,media,unclassified,,Branta canadensis,2,,,,,,,,,,,,,Bethanie Royality-Lindman,16:41:25.469000,,,Canada Goose
SYFW0195_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0195,,2024-01-30T11:48:34-0600,2024-01-30T11:48:34-0600,media,unclassified,,Anatidae,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:46:46.995000,,,Duck
SYFW0200_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0200,,2024-01-30T06:20:38-0600,2024-01-30T06:20:38-0600,media,unclassified,,Anatidae,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:50:36.839000,,,Duck
SYFW0201_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0201,,2024-01-30T12:58:38-0600,2024-01-30T12:58:38-0600,media,unclassified,,Anatidae,2,,,,,,,,,,,,,Bethanie Royality-Lindman,16:50:36.839000,,,Duck
SYFW0208_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0208,,2024-01-30T14:21:32-0600,2024-01-30T14:21:32-0600,media,unclassified,,Branta canadensis,2,,,,,,,,,,,,,Paul Moresco,20:52:08,,,2 geese
SYFW0227_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0227,,2024-01-30T12:23:10-0600,2024-01-30T12:23:10-0600,media,unclassified,,,,,,,,,,,,,,,,Paul Moresco,20:56:05.011000,,,"Someone... tried to steal the camera?, video facing away."
SYFW0233_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0233,,2024-01-30T12:24:46-0600,2024-01-30T12:24:46-0600,media,unclassified,,,,,,,,,,,,,,,,Paul Moresco,20:58:09.292000,,,Now the video is on a weird angle
SYFW0235_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0235,,2024-01-30T12:25:16-0600,2024-01-30T12:25:16-0600,media,unclassified,,,,,,,,,,,,,,,,Paul Moresco,21:00:29.177000,,,"Would be camera theives ... are talking about positioning the camera... oh, it's .. it's us."
SYFW0239_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0239,,2024-01-30T12:26:20-0600,2024-01-30T12:26:20-0600,media,unclassified,,,,,,,,,,,,,,,,Paul Moresco,21:01:40.607000,,,"Yep, that's just two River rangers moving the camera 😂"
SYFW0279_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0279,,2024-01-30T12:40:36-0600,2024-01-30T12:40:36-0600,media,unclassified,,,,,,,,,,,,,,,,Paul Moresco,21:03:41.044000,,,Camera looks to be repositioned
SYFW0283_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0283,,2024-01-30T19:34:58-0600,2024-01-30T19:34:58-0600,media,unclassified,,Ondatra zibethicus,1,,,,,,,,,,,,,Paul Moresco,21:04:57.093000,,,Sneaky guy from bottom of camera video
SYFW0288_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0288,,2024-01-31T02:46:30-0600,2024-01-31T02:46:30-0600,media,unclassified,,Ondatra zibethicus,1,,,,,,,,,,,,,Paul Moresco,21:06:31.862000,,,Probably the muskrat moving grass around like it's his job
SYFW0289_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0289,,2024-01-31T08:47:57-0600,2024-01-31T08:47:57-0600,media,unclassified,,Ondatra zibethicus,1,,,,,,,,,,,,,Paul Moresco,21:07:34.257000,,,Darting across
SYFW0290_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0290,,2024-01-31T02:48:10-0600,2024-01-31T02:48:10-0600,media,unclassified,,Ondatra zibethicus,1,,,,,,,,,,,,,Paul Moresco,21:08:35.203000,,,Brown muskrat chews the choicest dead grass
SYFW0291_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0291,,2024-01-31T08:49:02-0600,2024-01-31T08:49:02-0600,media,unclassified,,Ondatra zibethicus,1,,,,,,,,,,,,,Paul Moresco,15:28:22.468000,,,Same one
SYFW0293_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0293,,2024-01-31T08:51:05-0600,2024-01-31T08:51:05-0600,media,unclassified,,Ondatra zibethicus,1,,,,,,,,,,,,,Paul Moresco,15:32:25.496000,,,Maybe same one
